,depth (m),bitdepth (m),hook_load (klb),wob (klb),rpm,torque,rop ,flowin (gal/stk),spp (psi),ChockePressure (psi),flowout (%),SPM1 (spm),SPM2 (spm),pitlevel1 (bbl),pitlevel2 (bbl),pitlevel3 (bbl),pitlevel4 (bbl),pitlevel5 (bbl),pitlevel6 (bbl),pitlevel7 (bbl),totalpitlevel (bbl),RPMAnalog,BlockPosition,RPMTotal,H2S (ppm),Kick,Well_Number
80,47.44,46.0,22.0,0.0,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,52.0,86.0,89.0,79.0,89.0,102.0,2.0,497.0,0.0,9.0,0.0,0.0,0.0,0
81,47.44,46.0,39.0,0.0,,0.0,0,201.26,125.0,0.0,19.0,48.0,0.0,51.0,86.0,89.0,80.0,89.0,102.0,2.0,497.0,0.0,9.0,62.0,0.0,0.0,0
82,47.44,47.0,40.0,0.0,,0.0,0,305.18,291.0,0.0,38.0,72.0,0.0,52.0,86.0,88.0,79.0,87.0,102.0,2.0,494.0,0.0,9.0,94.0,0.0,0.0,0
83,47.46,47.0,40.0,1.0,,0.0,1.64,305.7,291.0,0.0,37.0,73.0,0.0,56.0,86.0,88.0,78.0,85.0,102.0,2.0,495.0,0.0,8.0,94.0,0.0,0.0,0
84,48.12,48.0,40.0,2.0,,0.0,1.64,304.67,301.0,0.0,37.0,72.0,0.0,60.0,85.0,87.0,77.0,83.0,102.0,2.0,494.0,0.0,8.0,94.0,0.0,0.0,0
85,48.29,48.0,41.0,0.0,,0.0,1.64,304.67,289.0,0.0,38.0,72.0,0.0,63.0,85.0,87.0,76.0,82.0,102.0,2.0,495.0,0.0,8.0,94.0,0.0,0.0,0
86,48.95,48.0,40.0,2.0,,0.0,4.14,305.18,302.0,0.0,38.0,72.0,0.0,64.0,86.0,87.0,76.0,81.0,102.0,2.0,496.0,0.0,8.0,94.0,0.0,0.0,0
87,49.42,49.0,39.0,2.0,,0.0,4.14,305.19,314.0,0.0,38.0,72.0,0.0,65.0,86.0,87.0,76.0,80.0,102.0,2.0,496.0,1.0,7.0,94.0,0.0,0.0,0
88,49.94,49.0,38.0,1.0,,0.0,2.65,304.16,325.0,0.0,38.0,72.0,0.0,65.0,86.0,87.0,75.0,80.0,102.0,2.0,495.0,0.0,7.0,94.0,0.0,0.0,0
89,50.67,50.0,39.0,3.0,,0.0,1.9,303.14,312.0,0.0,38.0,72.0,0.0,66.0,86.0,87.0,75.0,80.0,102.0,2.0,496.0,0.0,6.0,93.0,0.0,0.0,0
90,50.99,50.0,40.0,0.0,,0.0,1.59,304.67,289.0,0.0,38.0,72.0,0.0,66.0,87.0,87.0,75.0,79.0,102.0,2.0,496.0,0.0,5.0,94.0,0.0,0.0,0
91,51.5,51.0,39.0,3.0,,0.0,1.79,305.18,322.0,0.0,38.0,72.0,0.0,66.0,87.0,87.0,75.0,79.0,102.0,2.0,496.0,0.0,5.0,94.0,0.0,0.0,0
92,52.11,52.0,40.0,6.0,,0.0,2.2,305.18,338.0,0.0,38.0,72.0,0.0,66.0,87.0,87.0,75.0,79.0,102.0,2.0,496.0,0.0,4.0,94.0,0.0,0.0,0
93,52.74,52.0,39.0,4.0,,0.0,2.01,304.67,307.0,0.0,37.0,72.0,0.0,66.0,87.0,86.0,75.0,79.0,102.0,2.0,495.0,0.0,4.0,94.0,0.0,0.0,0
94,53.55,53.0,39.0,5.0,,0.0,1.64,305.7,321.0,0.0,38.0,73.0,0.0,66.0,87.0,87.0,75.0,79.0,102.0,2.0,496.0,0.0,3.0,94.0,0.0,0.0,0
95,54.26,54.0,39.0,6.0,,0.0,1.27,305.7,316.0,0.0,38.0,73.0,0.0,66.0,87.0,87.0,75.0,79.0,102.0,2.0,496.0,0.0,2.0,94.0,0.0,0.0,0
96,55.07,55.0,38.0,6.0,,0.0,1.37,303.14,329.0,0.0,38.0,72.0,0.0,66.0,87.0,86.0,75.0,79.0,102.0,2.0,495.0,2.0,1.0,93.0,0.0,0.0,0
97,56.02,56.0,37.0,9.0,,0.0,1.32,306.23,367.0,0.0,38.0,73.0,0.0,66.0,87.0,86.0,75.0,79.0,102.0,2.0,495.0,8.0,1.0,94.0,0.0,0.0,0
98,56.38,56.0,39.0,4.0,,0.0,1.12,306.74,310.0,0.0,38.0,73.0,0.0,66.0,87.0,86.0,75.0,79.0,102.0,2.0,495.0,3.0,0.0,95.0,0.0,0.0,0
99,56.38,55.0,41.0,0.0,,0.0,0.37,177.1,146.0,0.0,30.0,42.0,0.0,67.0,87.0,86.0,75.0,79.0,102.0,2.0,496.0,0.0,1.0,54.0,0.0,0.0,0
100,56.38,55.0,37.0,0.0,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,66.0,86.0,86.0,76.0,82.0,102.0,2.0,498.0,0.0,1.0,0.0,0.0,0.0,0
101,56.38,55.0,23.0,0.0,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,61.0,86.0,87.0,77.0,85.0,102.0,2.0,498.0,0.0,1.0,0.0,0.0,0.0,0
102,56.38,55.0,24.0,0.0,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,56.0,86.0,88.0,78.0,87.0,102.0,2.0,497.0,0.0,3.0,0.0,0.0,0.0,0
103,56.38,53.0,30.0,0.0,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,53.0,86.0,89.0,79.0,88.0,102.0,2.0,497.0,0.0,2.0,0.0,0.0,0.0,0
104,56.38,45.0,40.0,0.0,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,51.0,86.0,89.0,80.0,89.0,102.0,2.0,497.0,0.0,9.0,0.0,0.0,0.0,0
105,56.38,37.0,40.0,0.0,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,51.0,87.0,89.0,80.0,89.0,102.0,2.0,498.0,0.0,17.0,0.0,0.0,0.0,0
106,56.38,37.0,39.0,0.0,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,50.0,87.0,89.0,80.0,90.0,102.0,2.0,498.0,0.0,20.0,0.0,0.0,0.0,0
107,56.38,37.0,24.0,0.0,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,49.0,87.0,89.0,80.0,90.0,102.0,2.0,497.0,0.0,19.0,0.0,0.0,0.0,0
108,56.38,37.0,24.0,0.0,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,49.0,87.0,90.0,80.0,90.0,102.0,2.0,498.0,0.0,19.0,0.0,0.0,0.0,0
109,56.38,37.0,26.0,0.0,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,48.0,87.0,90.0,80.0,90.0,102.0,2.0,497.0,0.0,19.0,0.0,0.0,0.0,0
